,custId,sex,isElderly,partner,dependents,membershipDuration,agreementTerm,acquisitionChannel,phoneService,multipleLines,internetService,monthlyDataUsageGb,cyberProtectionService,onlineBackup,deviceProtection,techSupport,streamingTv,streamingMovies,recurringFee,cumulativeSpend,transactionMethod,paperlessBilling,billingIssues,supportTickets,lastContactRating,serviceSatisfactionScore,mobileAppSatisfaction,networkStabilityScore,avgNetworkLatencyMs,dataLimitWarnings,loyaltyPoints,customerFeedback,competitorOffers,custExit
157,jR44791,Male,No,Yes,Yes,22,One year,Online,Yes,No,No,47.83,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.15,419.9,Mailed check,No,2,3,3,5,Yes,6.1,70,Yes,1170,"I have been a customer with this company for nearly two years now and I have been very satisfied with the service. The monthly charges are very reasonable at $20.15 and I appreciate the convenience of being able to pay by mailing a check. Although I do not have internet service with this provider, I have had no issues with the service I do have. Overall, I am happy with my experience and have no plans to switch providers.",No,No
1520,G25044,Female,No,No,No,55,One year,Referral,Yes,Yes,Fiber optic,20.58,Yes,Yes,Yes,No,No,No,84.25,4589.85,Credit card (automatic),Yes,2,Yes,4,3,5,9.9,45,No,542,"I have been a customer with this company for over four years now and I have been extremely satisfied with the service. The fiber optic internet service is incredibly fast and reliable, and the monthly charges are very reasonable for the quality of service provided. I appreciate the convenience of the automatic credit card payment method, as it ensures that I never miss a payment. Overall, I have had a great experience with this company and would highly recommend their services to others.",No,No
3661,VU20437,Female,No,Yes,Yes,48,Month-to-month,Online,Yes,Yes,Fiber optic,59.77,Yes,Yes,No,No,Yes,Yes,105.25,4997.5,Credit card (automatic),Yes,Yes,Yes,5,5,3,10,10,2,1322,"I have been a customer with this company for 4 years now and I have been extremely satisfied with their service. The fiber optic internet is fast and reliable, and I have never experienced any issues with connectivity. The automatic credit card payment method is convenient and hassle-free. Although the monthly charges are a bit on the higher side at $105.25, I believe the quality of service justifies the cost. Overall, I have had a positive experience with this company and have no plans to churn in the near future.",No,No
4651,TA65127,Female,No,No,No,46,Month-to-month,Store,Yes,No,DSL,53.37,No,Yes,No,No,No,No,44.95,2168.9,Bank transfer (automatic),No,Yes,3,4,4,2,9.5,108,Yes,1266,"I have been a customer with this DSL provider for 46 months now and I am overall satisfied with the service. The monthly charges are reasonable at $44.95 and I appreciate the convenience of automatic bank transfers for payment. The internet service has been reliable and I have not experienced any issues that would make me want to switch providers. Overall, I am happy with my experience and would recommend this provider to others.",No,No
2562,m56067,Female,Yes,Yes,No,14,Month-to-month,Online,Yes,Yes,Fiber optic,27.2,No,Yes,No,No,Yes,Yes,100.2,1369.8,Electronic check,Yes,No,No,4,4,3,6.4,72,Yes,1903,"I recently canceled my service after being with the company for 14 months on a month-to-month contract. The monthly charges of $100.2 for fiber optic internet were reasonable, but I found a better deal with another provider. I appreciated the convenience of paying with electronic check, but ultimately decided to switch due to better pricing. Overall, I had a positive experience with the company during my time as a customer.",No,Yes
6404,S57112,Female,No,No,Yes,26,Two year,Online,Yes,No,Fiber optic,67.68,No,Yes,Yes,Yes,Yes,Yes,105.45,2715.3,Electronic check,Yes,Yes,2,Yes,3,4,5.7,86,3,804,"I have been a customer with this company for 26 months now and I must say I am extremely satisfied with the service I have received. The fiber optic internet service is incredibly fast and reliable, and I have never experienced any issues with my connection. The monthly charges of $105.45 are reasonable for the quality of service I am receiving. I appreciate the convenience of being able to pay with an electronic check. Overall, I have no complaints and would highly recommend this company to others.",No,No
5564,q89786,Male,No,No,No,5,Month-to-month,Online,Yes,No,No,44.19,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.95,107.05,Mailed check,No,Yes,2,2,5,2,4.4,77,No,1024,"I have been a customer with this company for the past 5 months on a month-to-month contract with no churn. I do not have internet service with this provider, but I have been satisfied with the service I have received so far. The monthly charges of $19.95 are reasonable for the services I am receiving. I prefer to pay by mailed check, and the payment process has been smooth and hassle-free. Overall, I am happy with my experience as a customer and would recommend this company to others.",No,No
3848,Y21857,Female,No,No,No,28,Month-to-month,Referral,Yes,No,DSL,86.21,No,Yes,Yes,No,Yes,No,59.55,1646.45,Bank transfer (automatic),Yes,Yes,Yes,5,4,4,7.3,87,Yes,1277,"I have been a customer with this DSL internet provider for 28 months now and I am very satisfied with their service. The monthly charges of $59.55 are reasonable for the reliable internet connection I receive. I appreciate the convenience of automatic bank transfers for payments. Overall, I have had no issues with the service and would recommend it to others.",No,No
3017,N45317,Female,No,No,No,51,Two year,Agent,Yes,No,No,49.26,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.65,1020.75,Bank transfer (automatic),No,No,2,5,5,4,8.4,84,2,1208,"I have been with this company for over four years now and I have been very satisfied with their service. The automatic bank transfer for payment makes it convenient for me to keep up with my bills. Even though I do not have internet service with them, the monthly charges of $20.65 for other services are reasonable. I have not experienced any issues that would make me want to leave, so I am happy to say that I have no plans to churn in the near future.",No,No
1357,IO79829,Male,No,Yes,No,60,Two year,Store,Yes,No,No,19.6,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.95,1258.15,Mailed check,No,No,No,Yes,3,3,1.8,11,2,327,"I have been a customer with this company for 5 years now and have been satisfied with the service overall. I appreciate the affordable monthly charges and the fact that I don't have to deal with any issues related to internet service. I prefer to pay by mailed check and have had no issues with the payment process. Overall, I am happy with the service and have no plans to churn in the near future.",No,No
532,Q31894,Female,No,No,No,15,Month-to-month,Agent,Yes,Yes,Fiber optic,36.18,No,Yes,No,No,No,No,79.75,1111.85,Electronic check,Yes,3,2,5,4,3,Yes,76,2,370,"I recently decided to cancel my service after being a customer for 15 months. The month-to-month contract was convenient for me, but I found that the $79.75 monthly charges were becoming too expensive for the level of service I was receiving. I appreciated the fiber optic internet service, as it was fast and reliable. However, I ultimately decided to switch providers due to the high cost. I also found the electronic check payment method to be easy and convenient. Overall, I had a positive experience with the service, but the pricing ultimately led me to churn.",No,Yes
3647,qo79686,Male,No,No,No,42,One year,Store,Yes,No,No,69.49,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.55,839.4,Mailed check,Yes,No,No,2,4,Yes,6,55,3,970,"I have been a customer with this company for 42 months now and have had no issues with churning. I am on a one-year contract with a monthly charge of $19.55, which I find to be very reasonable. I do not have internet service with this company, but I have always paid my bills on time using a mailed check. Overall, I am pleased with the service and pricing provided by this company.",No,No
2440,n38135,Female,No,No,No,32,Month-to-month,Online,Yes,Yes,Fiber optic,71.02,No,Yes,Yes,No,Yes,Yes,101.35,3334.9,Electronic check,Yes,Yes,No,4,3,2,3.7,25,2,1025,"I have been a loyal customer with this fiber optic internet provider for 32 months now and I have been very satisfied with the service. The internet speed is consistently fast and reliable, and I have not experienced any issues with downtime. The monthly charges of $101.35 are reasonable for the quality of service that I receive. I appreciate the convenience of being able to pay with an electronic check. Overall, I have no complaints and would highly recommend this provider to others.",No,No
813,vW39047,Female,No,No,Yes,46,Month-to-month,Referral,Yes,No,Fiber optic,98.37,No,Yes,Yes,No,Yes,Yes,99.8,4391.25,Electronic check,Yes,No,3,4,4,3,3.4,43,Yes,100,"I have been a customer with this company for 46 months now and I have been really satisfied with the service. The fiber optic internet is super fast and reliable, and I have had no issues with any downtime. I appreciate the convenience of the month-to-month contract and the option to pay with electronic check. The monthly charges are a bit on the higher side at $99.8, but I feel like I am getting good value for the price. Overall, I have no complaints and would definitely recommend this company to others.",No,No
3328,BY81887,Female,Yes,No,No,46,One year,Referral,Yes,Yes,Fiber optic,34.54,Yes,Yes,Yes,No,Yes,Yes,110.0,4874.8,Electronic check,Yes,No,2,Yes,5,5,4.3,57,2,1675,"""I have been a customer with this company for almost four years now and I have been generally happy with the service. However, I recently decided to switch providers due to better pricing options elsewhere. The fiber optic internet service was reliable and fast, but I found the monthly charges to be on the higher side at $110.0. I appreciated the convenience of paying with electronic check. Overall, I had a positive experience with this company but ultimately decided to cancel my contract due to cost considerations.""",No,Yes
